properties.address,properties.name,properties.phone
"1820 North Main Street, Kissimmee, Florida 34744","KEDPLASMA, LLC",321-337-0500
"2730 NE 14th Street, Ocala, Florida 34470","KEDPLASMA, LLC",352-877-4000
"505 S Memorial Dr, Greenville, North Carolina 27834","KEDPLASMA, LLC",252-214-6647
"1890 Joe White Avenue, Myrtle Beach, South Carolina 29577","KEDPLASMA, LLC",843-353-3706
"588 North New Hope Road, Gastonia, North Carolina 28054","KEDPLASMA, LLC",704-691-3287
"3900 N Lockwood Ridge Rd, Sarasota, Florida 34234","KEDPLASMA, LLC",941-210-5588
"1501 South High Street, Longview, Texas 75602","KEDPLASMA, LLC",903.653.1479
"15 Limestone Drive, Williamsville, New York 14221","KEDPLASMA, LLC /Somerset Labs",716-631-1281
"2820 Middlebrook Pike Ste 112, Knoxville, Tennessee 37921",Knoxville Plasma Corporation,865-637-1497
"6015 Fort Avenue Ste 23, Lynchburg, Virginia 24502",Octapharma Plasma Inc,434-237-6881
"7730 Marlboro Pike, Forestville, Maryland 20747",Octapharma Plasma Inc,301.420.1803
"5819 NW Loop 410 Suite 114-115, San Antonio, Texas 78238",Octapharma Plasma Inc.,210-521-2203
"887 Florence Boulevard, Florence, Alabama 35630",Octapharma Plasma Inc.,256-767-0493
"6454 Van Nuys Boulevard, Suite 100, Van Nuys, California 91401",Octapharma Plasma Inc.,818-997-6033
"3232 Duke Street, San Diego, California 92110",Octapharma Plasma Inc.,619-758-9278
"2141 Loch Rane Boulevard, Suites 101-105, Orange Park, Florida 32073",Octapharma Plasma Inc.,904-276-2084
"978 Arlington Road, Jacksonville, Florida 32211",Octapharma Plasma Inc.,904-805-0381
"3644 Avenue of the Cities, Moline, Illinois 61265",Octapharma Plasma Inc.,309-757-9030
"418 Hill Avenue, Aurora, Illinois 60505",Octapharma Plasma Inc.,630-375-0228
"1770 Wabash Avenue, Springfield, Illinois 62704",Octapharma Plasma Inc.,217-546-8605
"2102 S. Michigan Street, South Bend, Indiana 46613",Octapharma Plasma Inc.,574-234-9568
"1810 North First Avenue, Evansville, Indiana 47710",Octapharma Plasma Inc.,812-463-6162
"115 Walnut Street, Terre Haute, Indiana 47807",Octapharma Plasma Inc.,812-234-0501
"2588 Hubbell Avenue, Des Moines, Iowa 50317",Octapharma Plasma Inc.,515-263-2192
"2417 Pierce Street, Sioux City, Iowa 51104",Octapharma Plasma Inc.,712-258-4140
"907 N. Hillside Street, Wichita, Kansas 67214",Octapharma Plasma Inc.,316-681-0208
"665 Behrman Highway, Gretna, Louisiana 70056",Octapharma Plasma Inc.,504-433-2344
"3144 Louisville Avenue Eastgate Shopping Center, Monroe, Louisiana 71201",Octapharma Plasma Inc.,318-322-1214
"813 W. Michigan Avenue, Ypsilanti, Michigan 48198",Octapharma Plasma Inc.,734-483-2084
"4411 Center Street Ste B, Omaha, Nebraska 68105",Octapharma Plasma Inc.,402-614-6630
"1732 East Fremont Street, Las Vegas, Nevada 89101",Octapharma Plasma Inc.,702-385-7337
"5108 Reagan Drive Suite 1, Charlotte, North Carolina 28206",Octapharma Plasma Inc.,704-921-2702
"3120 Milton Road, Charlotte, North Carolina 28215",Octapharma Plasma Inc.,704-537-3880
"10 Gateway Corner's Park Suite 100, Columbia, South Carolina 29203",Octapharma Plasma Inc.,803-736-5888
"58101 Fruitridge Road, Sacramento, California 95820",Octapharma Plasma Inc.,916-457-7850
"7006 University Avenue, Unit 13, Lubbock, Texas 79413",Octapharma Plasma Inc.,806-748-4080
"5414 South 900 East, Salt Lake City, Utah 84117",Octapharma Plasma Inc.,801-262-0183
"50 New Market Square, Newport News, Virginia 23605",Octapharma Plasma Inc.,757-380-0124
"949-A Chimney Hill Shopping Center, Virginia Beach, Virginia 23452",Octapharma Plasma Inc.,757-498-5160
"601 Frederick Boulevard, Portsmouth, Virginia 23707",Octapharma Plasma Inc.,757-393-9202
"843 E. Little Creek Road, Norfolk, Virginia 23518",Octapharma Plasma Inc.,757-480-0945
"2007 S Sycamore, Petersburg, Virginia 23805",Octapharma Plasma Inc.,804-722-1635
"1935 South Military Hwy, Chesapeake, Virginia 23320",Octapharma Plasma Inc.,757-543-3401
"510 East Francis Avenue, Spokane, Washington 99208",Octapharma Plasma Inc.,500-484-7001
"9349 Telegraph Road, Redford, Michigan 48239",Octapharma Plasma Inc.,313.535.0200
"4470 S Noland Road, Independence, Missouri 64055",Octapharma Plasma Inc.,816.478.7430
"2320 Stemmons Trail, Dallas, Texas 75220",Octapharma Plasma Inc.,214-351-1640
"9203 Stella Link Road, Houston, Texas 77081",Octapharma Plasma Inc.,713-668-6659
"5943 South Blvd, Charlotte, North Carolina 28217",Octapharma Plasma Inc.,704-553.4191
"2985 S. State Hwy 360, Suite 102, Grand Prairie, Texas 75052",Octapharma Plasma Inc.,972.606.4901
"5330 Walzem Road, Suite 108, San Antonio, Texas 78218",Octapharma Plasma Inc.,210-590-1900
"3467 Cleveland Avenue, Columbus, Ohio 43224",Octapharma Plasma Inc.,614-261-7019
"11799 West Avenue, San Antonio, Texas 78216",Octapharma Plasma Inc.,210-366.0502
"5739-B Edgewater Drive, Orlando, Florida 32810-5258",Octapharma Plasma Inc.,407-295-0533
"16845 Torrence Ave, Lansing, Illinois 60438",Octapharma Plasma Inc.,708-418-5258
"6394 Silver Star Rd, Orlando, Florida 32810",Octapharma Plasma Inc.,407-295-8008
"993 Semoran Blvd, Orlando, Florida 32807",Octapharma Plasma Inc.,407-207-5493
"2740 Brice Road, Reynoldsburg, Ohio 43068",Octapharma Plasma Inc.,614-575-6400
"1731 Bean Avenue, Maplewood, Minnesota 55109",Octapharma Plasma Inc.,651.770.3330
"3150 Burke Road, Pasadena, Texas 77504",Octapharma Plasma Inc.,713.941.2821
"1405 Merritt Blvd, Dundalk, Maryland 21222","Octapharma Plasma, Inc",410-284-2227
"5121 Warden Road, North Little Rock, Arkansas 72116","Octapharma Plasma, Inc.",501-812-0440
"3415 West Broadway, Suite A, Council Bluffs, Iowa 51501","Octapharma Plasma, Inc.",712-352-1717
"705 N. Park Street, Kalamazoo, Michigan 49007","Octapharma Plasma, Inc.",269-349-2124
"506 South Dr Martin Luther King Jr Blvd, Greenville, Mississippi 38701","Octapharma Plasma, Inc.",662-378-9005
"4640 South 25th Street, Omaha, Nebraska 68107","Octapharma Plasma, Inc.",402-733-1169
"4085 East Lancaster Avenue, Ft. Worth, Texas 76103","Octapharma Plasma, Inc.",817-531-3100
"3342 Broadway Boulevard, Suite 110, Garland, Texas 75043","Octapharma Plasma, Inc.",214-703-8369
"8780 Pershall Road, Hazelwood, Missouri 63042","Octapharma Plasma, Inc.",314-524-9015
"10694 Lorain Avenue, Cleveland, Ohio 44111","Octapharma Plasma, Inc.",216-252-6811
"5398 Northfield Road, Maple Heights, Ohio 44137","Octapharma Plasma, Inc.",216-518-0322
"8807 E Washington Street, Indianapolis, Indiana 46219","Octapharma Plasma, Inc.",317-897-8044
"4570 Memorial Drive, Suite A, Decatur, Georgia 30032","Octapharma Plasma, Inc.",404-292-9244
"3363 Buford Hwy, NE, Ste 995, Atlanta, Georgia 30329","Octapharma Plasma, Inc.",404-471-9921
"404 East 13 Mile Road, Madison Heights, Michigan 48071","Octapharma Plasma, Inc.",248-597-0314
"17 West North Avenue, Northlake, Illinois 60164","Octapharma Plasma, Inc.",704-409-0900
"83-B Great Southern Blvd, Columbus, Ohio 43207","Octapharma Plasma, Inc.",614-491-2800
"1700 N Rolling Road, Baltimore, Maryland 21244","Octapharma Plasma, Inc.",410-265-5729
"8602 W Brown Deer Road, Milwaukee, Wisconsin 53224","Octapharma Plasma, Inc.",414-586-0045
"8420 N Armenia Avenue, Tampa, Florida 33604","Octapharma Plasma, Inc.",813-915-1100
"6228 Hulen Bend Blvd, Ft. Worth, Texas 76132","Octapharma Plasma, Inc.",817.423.8083
"1166 N. McLean Boulevard, Elgin, Illinois 60123",Plasma Biological Services,847-531-8185
"2820 Frederica Street, Owensboro, Kentucky 42301",Plasma Biological Services Inc.,270-685-0070
"1602 North Woodbine Road, St Joseph, Missouri 64506",Plasma Biological Services Inc.,816-901-9770
"916 East Walnut street, Columbia, Missouri 65201",Plasma Biological Services Inc.,573-449-3961
"85 Tunnel Road, Ste 2A, Asheville, North Carolina 28805",Plasma Biological Services Inc.,828-252-9977
"404 Ashe Street, Johnson City, Tennessee 37604",Plasma Biological Services Inc.,423-926-3169
"4321 Summer Avenue, Memphis, Tennessee 38122",Plasma Biological Services Inc.,901-842-5500
"3508 Ramill Road, Memphis, Tennessee 38128",Plasma Biological Services Inc.,901-358-2511
"104 Old Hickory Blvd. East, Jackson, Tennessee 38301",Plasma Biological Services Inc.,731-422-2537
"3201 Gallatin Pike, Nashville, Tennessee 37216","Plasma Biological Services, Inc.",615-915-2649
"Bozdechova 2, Prague, 15000 Czech Republic",Plasma Place s.r.o.,+42.0735208208
"Ceskoslovenske Armady 295, Hradec Králové, 15002 Czech Republic",Plasma Place s.r.o.,+42.0601031031
"Alter Posthof 1 / Kapuziner Karree, D-52062 Aachen, Germany",Plasma Service Europe GmbH,+49 241 900 8819
"Kampstraße 88 - 100, D-44137 Dortmund, Germany",Plasma Service Europe GmbH,+49 231 95049 112
"Grosse Ulrichstrasse 19, D-06108 Halle/Saale, Germany",Plasma Service Europe GmbH,+49 345 444 770
"Hohenstaufenring 62, D-50674 Köln, Germany",Plasma Service Europe GmbH,+49 221 420365 65
"Alter Markt 12, D-39104 Magdeburg, Germany",Plasma Service Europe GmbH,+49 391 607 750
"Gotthardstr. 35 / Klia-Passage, D-06217 Merseburg, Germany",Plasma Service Europe GmbH,+49 3461 27882 0
"Rautenstr. 8, D-99734 Nordhausen, Germany",Plasma Service Europe GmbH,+49 3631 46259 0
"Am Strande 3 / Silo III, D-18055 Rostock, Germany",Plasma Service Europe GmbH,+49381 377 900
"Kropeliner Strasse 25, D-18055 Rostock, Germany",Plasma Service Europe GmbH,+49381 377 900
"Innrain 6-8, A-6020 Innsbruck, Austria",Plasmadienst Tirol GmbH / Biotest,+43 512 58 47 23
"Favoritenstrasse 93, Vienna, 1100 Austria",Plasmapunkt - Favoriten,431-603-1514
"Siebeckstraße 7, Stiege III, 3, Stock, A-1220 Vienna, Austria",Plasmapunkt Donauzentrum,+43 1 2024787
"Lazarettgurtel 55, 8020 Graz, Austria",Plasmaspendedienst Graz,+43 316 232 500
"Kisfaludi u. 32-38. IV. em. H-1082 Budapest, Hungary",Plazmaszolgálat/Corvin Plazmacentrum (Biotest),
"Czuczor u. 10. III. em. H-1093 Budapest, Hungary",Plazmaszolgálat/Studium Plazmacentrum (Biotest),
"Mikszáth Kálmán utca 20-22, H-6722 Szeged, Hungary",Plazmaszolgálat/Szeged (Biotest),
"137 Innovation Drive, Winnipeg, MB R3T 6B6, Canada",Prometic Plasma Resources,204-275-4630
"Ferdinandstrasse 13, D-44789 Bochum, Germany",Ruhr Plasma Center,+49 234 33 0727
"3902 Madison Avenue, Indianapolis, IN 46227",Saturn Biomedical,317-786-4470
"1068 Broadway, El Cajon, CA 92021","Scantibodies Biologics, Inc.",619-440-0283
"1406 McFarland Blvd N, Ste 1A, Tuscaloosa, Alabama 35406","Southern Blood Services, Inc.",205-759-4007
"3800 Colonnade Pkwy Ste 200, Birmingham, Alabama 35243","Southern Blood Services, Inc.",205-967-8189
"1114 17th Avenue South Suite 104, Nashville, Tennessee 37212","Southern Blood Services, Inc.",615-342-0180
"Milady Horakove 109/116, Prague, 16000 Czech Republic",UNICAplasma s.r.o.,+42.335.444.7777
